fold,sample_id,obj_name,baseline_miou,original_miou,original_iter,original_non_degraded,original_fallback,original_delta_vs_baseline,original_delta_vs_original,support_fg_miou,support_fg_iter,support_fg_fallback,support_fg_non_degraded,support_fg_delta_vs_baseline,support_fg_delta_vs_original,support_decoder_fg_miou,support_decoder_fg_iter,support_decoder_fg_fallback,support_decoder_fg_non_degraded,support_decoder_fg_delta_vs_baseline,support_decoder_fg_delta_vs_original
1,fold1:773_class-6,773_class-6,0.43701801,0.45190719,1,1,0,0.01488918,0.00000000,0.43701801,0,1,1,0.00000000,-0.01488918,0.43701801,0,1,1,0.00000000,-0.01488918
1,fold1:774_class-9,774_class-9,0.83617252,0.54127854,3,0,0,-0.29489398,0.00000000,0.83617252,0,1,1,0.00000000,0.29489398,0.83617252,0,1,1,0.00000000,0.29489398
1,fold1:775_class-6,775_class-6,0.99036574,0.94723231,5,0,0,-0.04313344,0.00000000,0.94723231,5,0,0,-0.04313344,0.00000000,0.94723231,5,0,0,-0.04313344,0.00000000
1,fold1:776_class-9,776_class-9,0.76341617,0.59433246,4,0,0,-0.16908371,0.00000000,0.59433246,4,0,0,-0.16908371,0.00000000,0.59433246,4,0,0,-0.16908371,0.00000000
1,fold1:777_class-7,777_class-7,0.98657477,0.95647109,4,0,0,-0.03010368,0.00000000,0.98657477,0,1,1,0.00000000,0.03010368,0.98657477,0,1,1,0.00000000,0.03010368
1,fold1:778_class-6,778_class-6,0.28807643,0.28807643,0,1,0,0.00000000,0.00000000,0.28807643,0,0,1,0.00000000,0.00000000,0.28807643,0,0,1,0.00000000,0.00000000
1,fold1:779_class-5,779_class-5,0.96889526,0.91644651,1,0,0,-0.05244875,0.00000000,0.96889526,0,1,1,0.00000000,0.05244875,0.96889526,0,1,1,0.00000000,0.05244875
1,fold1:780_class-8,780_class-8,0.37712544,0.33079126,3,0,0,-0.04633418,0.00000000,0.33079126,3,0,0,-0.04633418,0.00000000,0.33079126,3,0,0,-0.04633418,0.00000000
1,fold1:781_class-8,781_class-8,0.21152596,0.32438254,1,1,0,0.11285658,0.00000000,0.32438254,1,0,1,0.11285658,0.00000000,0.32438254,1,0,1,0.11285658,0.00000000
1,fold1:782_class-6,782_class-6,0.39927247,0.38326448,4,0,0,-0.01600799,0.00000000,0.38326448,4,0,0,-0.01600799,0.00000000,0.38326448,4,0,0,-0.01600799,0.00000000
1,fold1:783_class-7,783_class-7,0.98215294,0.94023001,1,0,0,-0.04192293,0.00000000,0.94023001,1,0,0,-0.04192293,0.00000000,0.94023001,1,0,0,-0.04192293,0.00000000
1,fold1:784_class-8,784_class-8,0.36240309,0.41926932,5,1,0,0.05686623,0.00000000,0.41926932,5,0,1,0.05686623,0.00000000,0.41926932,5,0,1,0.05686623,0.00000000
1,fold1:785_class-6,785_class-6,0.43534094,0.43534094,0,1,0,0.00000000,0.00000000,0.43534094,0,0,1,0.00000000,0.00000000,0.43534094,0,0,1,0.00000000,0.00000000
1,fold1:786_class-6,786_class-6,0.89413071,0.85360414,3,0,0,-0.04052657,0.00000000,0.89413071,0,1,1,0.00000000,0.04052657,0.89413071,0,1,1,0.00000000,0.04052657
1,fold1:787_class-7,787_class-7,0.61894792,0.21234342,4,0,0,-0.40660450,0.00000000,0.21234342,4,0,0,-0.40660450,0.00000000,0.21234342,4,0,0,-0.40660450,0.00000000
1,fold1:788_class-8,788_class-8,0.73200309,0.73200309,0,1,0,0.00000000,0.00000000,0.73200309,0,0,1,0.00000000,0.00000000,0.73200309,0,0,1,0.00000000,0.00000000
1,fold1:789_class-7,789_class-7,0.88024771,0.85250896,2,0,0,-0.02773875,0.00000000,0.88024771,0,1,1,0.00000000,0.02773875,0.88024771,0,1,1,0.00000000,0.02773875
1,fold1:790_class-6,790_class-6,0.23806809,0.22332335,5,0,0,-0.01474474,0.00000000,0.22332335,5,0,0,-0.01474474,0.00000000,0.22332335,5,0,0,-0.01474474,0.00000000
1,fold1:791_class-7,791_class-7,0.79487801,0.97541106,5,1,0,0.18053305,0.00000000,0.79487801,0,1,1,0.00000000,-0.18053305,0.79487801,0,1,1,0.00000000,-0.18053305
1,fold1:792_class-7,792_class-7,0.97339731,0.93365896,3,0,0,-0.03973836,0.00000000,0.97339731,0,1,1,0.00000000,0.03973836,0.97339731,0,1,1,0.00000000,0.03973836
1,fold1:793_class-6,793_class-6,0.20034540,0.30200422,3,1,0,0.10165882,0.00000000,0.30200422,3,0,1,0.10165882,0.00000000,0.30200422,3,0,1,0.10165882,0.00000000
1,fold1:794_class-5,794_class-5,0.99715561,0.97576082,5,0,0,-0.02139479,0.00000000,0.97576082,5,0,0,-0.02139479,0.00000000,0.97576082,5,0,0,-0.02139479,0.00000000
1,fold1:795_class-7,795_class-7,0.99107027,0.93050039,2,0,0,-0.06056988,0.00000000,0.99107027,0,1,1,0.00000000,0.06056988,0.99107027,0,1,1,0.00000000,0.06056988
1,fold1:796_class-6,796_class-6,0.39233533,0.32116395,5,0,0,-0.07117137,0.00000000,0.32116395,5,0,0,-0.07117137,0.00000000,0.32116395,5,0,0,-0.07117137,0.00000000
1,fold1:797_class-6,797_class-6,0.99979627,0.97037196,4,0,0,-0.02942431,0.00000000,0.99979627,0,1,1,0.00000000,0.02942431,0.99979627,0,1,1,0.00000000,0.02942431
1,fold1:798_class-7,798_class-7,0.94652158,0.86925644,5,0,0,-0.07726514,0.00000000,0.86925644,5,0,0,-0.07726514,0.00000000,0.86925644,5,0,0,-0.07726514,0.00000000
1,fold1:799_class-8,799_class-8,0.29050300,0.25300339,5,0,0,-0.03749961,0.00000000,0.25300339,5,0,0,-0.03749961,0.00000000,0.25300339,5,0,0,-0.03749961,0.00000000
1,fold1:800_class-7,800_class-7,0.81069410,0.80018747,2,0,0,-0.01050663,0.00000000,0.80018747,2,0,0,-0.01050663,0.00000000,0.80018747,2,0,0,-0.01050663,0.00000000
1,fold1:801_class-7,801_class-7,0.99758530,0.96290249,1,0,0,-0.03468281,0.00000000,0.99758530,0,1,1,0.00000000,0.03468281,0.99758530,0,1,1,0.00000000,0.03468281
1,fold1:802_class-7,802_class-7,0.64914870,0.62868482,2,0,0,-0.02046388,0.00000000,0.62868482,2,0,0,-0.02046388,0.00000000,0.62868482,2,0,0,-0.02046388,0.00000000
1,fold1:803_class-9,803_class-9,0.20302439,0.23613749,2,1,0,0.03311311,0.00000000,0.20302439,0,1,1,0.00000000,-0.03311311,0.20302439,0,1,1,0.00000000,-0.03311311
1,fold1:804_class-5,804_class-5,0.80081898,0.35394719,1,0,0,-0.44687179,0.00000000,0.80081898,0,1,1,0.00000000,0.44687179,0.80081898,0,1,1,0.00000000,0.44687179
1,fold1:805_class-7,805_class-7,0.27773485,0.27293873,3,0,0,-0.00479612,0.00000000,0.27773485,0,1,1,0.00000000,0.00479612,0.27773485,0,1,1,0.00000000,0.00479612
1,fold1:806_class-6,806_class-6,0.23471746,0.28827724,1,1,0,0.05355978,0.00000000,0.28827724,1,0,1,0.05355978,0.00000000,0.23471746,0,1,1,0.00000000,-0.05355978
