generator,benchmark,num_episodes,threshold,accepted_count,coverage,degradation_count,conditional_degradation_risk,conditional_excess_miou_loss,conditional_mean_delta_miou,mean_baseline_miou,overall_selected_miou,overall_gain_over_baseline,overall_ndr,baseline_output_rate,gate_fallback_rate,maximum_refinement_coverage,is_default_tau,is_original_endpoint
Matcher,FSS-1000,2400,-0.003356635570526123,1635,0.68125,657,0.4018348623853211,0.004500583721045689,0.03216085712986483,0.884484056958269,0.9063936408779895,0.021909583919720414,0.7262500000000001,0.31875,0.15041666666666667,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.003363311290740967,1636,0.6816666666666666,657,0.4015892420537897,0.00449783275300104,0.032141405662401035,0.884484056958269,0.9063937818181391,0.021909724859870038,0.7262500000000001,0.31833333333333336,0.15,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0033838748931884766,1637,0.6820833333333334,657,0.40134392180818573,0.004495085145943618,0.03219232746134253,0.884484056958269,0.9064419069808598,0.02195785002259072,0.7262500000000001,0.3179166666666666,0.14958333333333335,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0034308433532714844,1638,0.6825,657,0.4010989010989011,0.004492340893717767,0.03217372878782124,0.884484056958269,0.906442626855957,0.021958569897687994,0.7262500000000001,0.3175,0.14916666666666667,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.003455042839050293,1639,0.6829166666666666,658,0.40146430750457596,0.004489730654910543,0.032153968026212634,0.884484056958269,0.9064425376228368,0.021958480664567712,0.7258333333333333,0.3170833333333334,0.14875,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.003460705280303955,1640,0.6833333333333333,658,0.401219512195122,0.004486993014267305,0.032157136737539366,0.884484056958269,0.9064581003955876,0.021974043437318565,0.7258333333333333,0.31666666666666665,0.14833333333333334,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0034791231155395508,1641,0.68375,659,0.4015843997562462,0.004484385474472058,0.032137413911855144,0.884484056958269,0.9064580137204999,0.021973956762230955,0.7254166666666666,0.31625000000000003,0.14791666666666667,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0035155415534973145,1642,0.6841666666666667,660,0.40194884287454324,0.004481831712968167,0.0321176645068631,0.884484056958269,0.9064578924250479,0.02197383546677884,0.725,0.3158333333333333,0.1475,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.00354689359664917,1643,0.6845833333333333,660,0.40170419963481435,0.004479103878693688,0.03210875199828807,0.884484056958269,0.9064651734304304,0.021981116472161374,0.725,0.3154166666666667,0.14708333333333334,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0035652518272399902,1644,0.685,661,0.40206812652068125,0.004483739086347485,0.03208186140384779,0.884484056958269,0.9064601320199048,0.021976075061635736,0.7245833333333334,0.31499999999999995,0.14666666666666667,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0035673975944519043,1645,0.6854166666666667,661,0.40182370820668695,0.004481013409091347,0.032063071653077035,0.884484056958269,0.9064606206538156,0.02197656369554655,0.7245833333333334,0.3145833333333333,0.14625,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.003569364547729492,1646,0.6858333333333333,662,0.402187120291616,0.0044789548062539476,0.03204292850314276,0.884484056958269,0.9064601654233411,0.02197610846507208,0.7241666666666666,0.3141666666666667,0.14583333333333334,0.8316666666666667,0,0
