obj_name,original_iter,original_miou,baseline_miou_original,oracle_miou_original,guarded_iter,guarded_miou,baseline_miou_guarded,oracle_miou_guarded,guarded_delta_vs_original,original_delta_vs_baseline,guarded_delta_vs_baseline,original_non_degraded,guarded_non_degraded,ndr_transition,benchmark,fallback_applied_x,fallback_applied_y,ndr_delta
272_class-16,3,0.9126473665,0.9255325198,0.9295278192,0,0.9255325198,0.9255325198,0.9295278192,0.0128851533,-0.0128851533,0.0000000000,0,1,,COCO-20i,False,True,1.0000000000
273_class-40,2,0.8641235828,0.3957672417,0.8641235828,2,0.8641235828,0.3957672417,0.8641235828,0.0000000000,0.4683563411,0.4683563411,1,1,,COCO-20i,False,False,0.0000000000
274_class-48,3,0.2831623554,0.2410970032,0.2833511233,3,0.2831623554,0.2410970032,0.2833511233,0.0000000000,0.0420653522,0.0420653522,1,1,,COCO-20i,False,False,0.0000000000
275_class-16,2,0.9113349915,0.9152848721,0.9195614457,2,0.9113349915,0.9152848721,0.9195614457,0.0000000000,-0.0039498806,-0.0039498806,0,0,,COCO-20i,False,False,0.0000000000
276_class-20,4,0.6145880222,0.6156059504,0.6479160786,4,0.6145880222,0.6156059504,0.6479160786,0.0000000000,-0.0010179281,-0.0010179281,0,0,,COCO-20i,False,False,0.0000000000
277_class-44,4,0.9051154852,0.8422132134,0.9051154852,0,0.8422132134,0.8422132134,0.9051154852,-0.0629022717,0.0629022717,0.0000000000,1,1,,COCO-20i,False,True,0.0000000000
278_class-24,2,0.9141836166,0.6099029779,0.9141836166,2,0.9141836166,0.6099029779,0.9141836166,0.0000000000,0.3042806387,0.3042806387,1,1,,COCO-20i,False,False,0.0000000000
279_class-60,2,0.5829958320,0.5732666850,0.5844007134,0,0.5732666850,0.5732666850,0.5844007134,-0.0097291470,0.0097291470,0.0000000000,1,1,,COCO-20i,False,True,0.0000000000
280_class-68,0,0.9375135899,0.9375135899,0.9375135899,0,0.9375135899,0.9375135899,0.9375135899,0.0000000000,0.0000000000,0.0000000000,1,1,,COCO-20i,False,False,0.0000000000
281_class-76,4,0.8021754026,0.8158453703,0.8296217918,0,0.8158453703,0.8158453703,0.8296217918,0.0136699677,-0.0136699677,0.0000000000,0,1,,COCO-20i,False,True,1.0000000000
282_class-56,0,0.3512060642,0.3512060642,0.3662684262,0,0.3512060642,0.3512060642,0.3662684262,0.0000000000,0.0000000000,0.0000000000,1,1,,COCO-20i,False,False,0.0000000000
283_class-24,1,0.5682441592,0.5083791614,0.5725122094,1,0.5682441592,0.5083791614,0.5725122094,0.0000000000,0.0598649979,0.0598649979,1,1,,COCO-20i,False,False,0.0000000000
284_class-24,3,0.6884056926,0.6834748983,0.6943871975,3,0.6884056926,0.6834748983,0.6943871975,0.0000000000,0.0049307942,0.0049307942,1,1,,COCO-20i,False,False,0.0000000000
285_class-64,0,0.9440066814,0.9440066814,0.9440066814,0,0.9440066814,0.9440066814,0.9440066814,0.0000000000,0.0000000000,0.0000000000,1,1,,COCO-20i,False,False,0.0000000000
286_class-72,0,0.3856563270,0.3856563270,0.3872061670,0,0.3856563270,0.3856563270,0.3872061670,0.0000000000,0.0000000000,0.0000000000,1,1,,COCO-20i,False,False,0.0000000000
287_class-12,5,0.6752794981,0.5394365191,0.6752794981,5,0.6752794981,0.5394365191,0.6752794981,0.0000000000,0.1358429790,0.1358429790,1,1,,COCO-20i,False,False,0.0000000000
288_class-0,4,0.3556769788,0.3952644169,0.3952644169,4,0.3556769788,0.3952644169,0.3952644169,0.0000000000,-0.0395874381,-0.0395874381,0,0,,COCO-20i,False,False,0.0000000000
289_class-56,3,0.3096435368,0.2776004076,0.3096435368,3,0.3096435368,0.2776004076,0.3096435368,0.0000000000,0.0320431292,0.0320431292,1,1,,COCO-20i,False,False,0.0000000000
290_class-0,4,0.6945575476,0.7581304312,0.8440414667,4,0.6945575476,0.7581304312,0.8440414667,0.0000000000,-0.0635728836,-0.0635728836,0,0,,COCO-20i,False,False,0.0000000000
291_class-52,5,0.8015852571,0.7301309705,0.9575037956,5,0.8015852571,0.7301309705,0.9575037956,0.0000000000,0.0714542866,0.0714542866,1,1,,COCO-20i,False,False,0.0000000000
292_class-32,4,0.9716491699,0.9626801014,0.9716491699,0,0.9626801014,0.9626801014,0.9716491699,-0.0089690685,0.0089690685,0.0000000000,1,1,,COCO-20i,False,True,0.0000000000
293_class-4,3,0.6033996344,0.5342078209,0.6093240976,3,0.6033996344,0.5342078209,0.6093240976,0.0000000000,0.0691918135,0.0691918135,1,1,,COCO-20i,False,False,0.0000000000
294_class-24,4,0.8493092060,0.8593020439,0.8653507233,4,0.8493092060,0.8593020439,0.8653507233,0.0000000000,-0.0099928379,-0.0099928379,0,0,,COCO-20i,False,False,0.0000000000
295_class-8,5,0.1195993721,0.1111047268,0.1779395789,5,0.1195993721,0.1111047268,0.1779395789,0.0000000000,0.0084946454,0.0084946454,1,1,,COCO-20i,False,False,0.0000000000
296_class-76,2,0.7620617151,0.6974203587,0.7627055645,2,0.7620617151,0.6974203587,0.7627055645,0.0000000000,0.0646413565,0.0646413565,1,1,,COCO-20i,False,False,0.0000000000
297_class-32,1,0.9469419718,0.9197195768,0.9534106851,1,0.9469419718,0.9197195768,0.9534106851,0.0000000000,0.0272223949,0.0272223949,1,1,,COCO-20i,False,False,0.0000000000
298_class-4,3,0.6070814133,0.3644423485,0.6070814133,0,0.3644423485,0.3644423485,0.6070814133,-0.2426390648,0.2426390648,0.0000000000,1,1,,COCO-20i,False,True,0.0000000000
299_class-40,3,0.7393036485,0.7232172489,0.9558015466,3,0.7393036485,0.7232172489,0.9558015466,0.0000000000,0.0160863996,0.0160863996,1,1,,COCO-20i,False,False,0.0000000000
300_class-76,5,0.8460277319,0.8790018559,0.9124413729,5,0.8460277319,0.8790018559,0.9124413729,0.0000000000,-0.0329741240,-0.0329741240,0,0,,COCO-20i,False,False,0.0000000000
301_class-60,5,0.4661657214,0.4631260037,0.4975285530,5,0.4661657214,0.4631260037,0.4975285530,0.0000000000,0.0030397177,0.0030397177,1,1,,COCO-20i,False,False,0.0000000000
302_class-72,5,0.9628232121,0.6010740399,0.9628232121,5,0.9628232121,0.6010740399,0.9628232121,0.0000000000,0.3617491722,0.3617491722,1,1,,COCO-20i,False,False,0.0000000000
