sample_id,seed,obj_name,baseline_miou,original_miou,support_fg_miou,original_iter,support_fg_iter,support_fg_fallback,original_non_degraded,support_fg_non_degraded,delta_support_fg_vs_original,delta_original_vs_baseline,delta_support_fg_vs_baseline
seed44:21_class-60,44,21_class-60,0.77945513,0.77994156,0.77945513,2,0,1,1,1,-0.00048643,0.00048643,0.00000000
seed44:22_class-4,44,22_class-4,0.16468385,0.90835059,0.90835059,4,4,0,1,1,0.00000000,0.74366674,0.74366674
seed44:23_class-60,44,23_class-60,0.34700698,0.28408045,0.28408045,3,3,0,0,0,0.00000000,-0.06292653,-0.06292653
seed44:24_class-32,44,24_class-32,0.49326408,0.48273301,0.48273301,4,4,0,0,0,0.00000000,-0.01053107,-0.01053107
seed44:25_class-60,44,25_class-60,0.36922604,0.36921009,0.36921009,3,3,0,0,0,0.00000000,-0.00001594,-0.00001594
seed44:26_class-52,44,26_class-52,0.51147312,0.65416467,0.65416467,5,5,0,1,1,0.00000000,0.14269155,0.14269155
seed44:27_class-24,44,27_class-24,0.40299416,0.37552547,0.40299416,4,0,1,0,1,0.02746868,-0.02746868,0.00000000
seed44:28_class-64,44,28_class-64,0.39064008,0.43542621,0.39064008,3,0,1,1,1,-0.04478613,0.04478613,0.00000000
seed44:29_class-40,44,29_class-40,0.44598547,0.43103674,0.44598547,4,0,1,0,1,0.01494873,-0.01494873,0.00000000
seed44:30_class-40,44,30_class-40,0.53768283,0.52035272,0.53768283,1,0,1,0,1,0.01733011,-0.01733011,0.00000000
seed44:31_class-24,44,31_class-24,0.82427216,0.79620957,0.82427216,3,0,1,0,1,0.02806258,-0.02806258,0.00000000
seed44:32_class-28,44,32_class-28,0.45677462,0.45677462,0.45677462,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed44:33_class-16,44,33_class-16,0.34742326,0.38267913,0.34742326,2,0,1,1,1,-0.03525588,0.03525588,0.00000000
seed44:34_class-52,44,34_class-52,0.62600625,0.48525646,0.62600625,3,0,1,0,1,0.14074978,-0.14074978,0.00000000
seed44:35_class-76,44,35_class-76,0.65838861,0.65838861,0.65838861,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed44:36_class-76,44,36_class-76,0.52668965,0.45861381,0.52668965,3,0,1,0,1,0.06807584,-0.06807584,0.00000000
seed44:37_class-36,44,37_class-36,0.76060438,0.76060438,0.76060438,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed44:38_class-60,44,38_class-60,0.26949513,0.26961270,0.26961270,1,1,0,1,1,0.00000000,0.00011757,0.00011757
seed44:39_class-48,44,39_class-48,0.87777579,0.58917904,0.87777579,3,0,1,0,1,0.28859675,-0.28859675,0.00000000
seed44:40_class-64,44,40_class-64,0.44837397,0.48107883,0.48107883,5,5,0,1,1,0.00000000,0.03270486,0.03270486
seed44:41_class-12,44,41_class-12,0.41590244,0.38898170,0.38898170,3,3,0,0,0,0.00000000,-0.02692074,-0.02692074
seed44:42_class-36,44,42_class-36,0.20383735,0.10920591,0.20383735,3,0,1,0,1,0.09463144,-0.09463144,0.00000000
seed44:43_class-44,44,43_class-44,0.57940412,0.45706683,0.45706683,5,5,0,0,0,0.00000000,-0.12233728,-0.12233728
seed44:44_class-32,44,44_class-32,0.41428575,0.96542227,0.96542227,2,2,0,1,1,0.00000000,0.55113652,0.55113652
seed44:45_class-56,44,45_class-56,0.43339211,0.44371358,0.43339211,1,0,1,1,1,-0.01032147,0.01032147,0.00000000
seed44:46_class-4,44,46_class-4,0.00064702,0.00075681,0.00064702,2,0,1,1,1,-0.00010978,0.00010978,0.00000000
seed44:47_class-24,44,47_class-24,0.58857322,0.76405877,0.76405877,1,1,0,1,1,0.00000000,0.17548555,0.17548555
seed44:48_class-64,44,48_class-64,0.45420480,0.41328791,0.41328791,3,3,0,0,0,0.00000000,-0.04091689,-0.04091689
